iter	Logloss
0	0.505845303
1	0.3891201341
2	0.3201232571
3	0.2849071554
4	0.2575935465
5	0.2416717156
6	0.2315439945
7	0.2241031257
8	0.2181851993
9	0.2135227085
10	0.2095220981
11	0.206246816
12	0.2024280819
13	0.1980457035
14	0.195882548
15	0.1941025119
16	0.1923569709
17	0.1902932231
18	0.1888146803
19	0.1875406189
20	0.1862874908
21	0.1851665446
22	0.1837690345
23	0.1829453583
24	0.1821463216
25	0.1813179694
26	0.1805657383
27	0.1795265706
28	0.1788841536
29	0.1780626221
30	0.1777032844
31	0.1769772271
32	0.1760170746
33	0.1755033179
34	0.1751212056
35	0.1737207879
36	0.1731813575
37	0.1728345269
38	0.1724122687
39	0.1717133535
40	0.1709943441
41	0.1707394477
42	0.170496421
43	0.1701218719
44	0.1698336962
45	0.1689478641
46	0.1686204529
47	0.1683549923
48	0.1681210954
49	0.1675045929
50	0.1670015666
51	0.166753457
52	0.1662589349
53	0.1660195533
54	0.1658626997
55	0.1656623467
56	0.1655474769
57	0.165278717
58	0.1651373071
59	0.1648668569
60	0.1646945377
61	0.1645162964
62	0.1642965885
63	0.1639849582
64	0.1637532315
65	0.1636047465
66	0.1633738539
67	0.1632254622
68	0.1629015045
69	0.1627140418
70	0.1626803436
71	0.1625055339
72	0.1623069763
73	0.1620341305
74	0.1619422217
75	0.1616260681
76	0.1614507938
77	0.1612415331
78	0.1610676507
79	0.1608955061
80	0.1607211388
81	0.1604093882
82	0.1600506931
83	0.1598954722
84	0.1597432115
85	0.1596312663
86	0.1593361223
87	0.1590921953
88	0.1588623199
89	0.1587374251
90	0.1586086409
91	0.1584232483
92	0.1583336351
93	0.1581886359
94	0.1580283542
95	0.1579045003
96	0.1576889835
97	0.1574845327
98	0.1573524102
99	0.1570666063
