iter	Passed	Remaining
0	161	161577
1	183	91422
2	200	66721
3	218	54380
4	235	46946
5	252	41819
6	269	38164
7	284	35311
8	302	33309
9	320	31699
10	339	30501
11	356	29386
12	373	28353
13	390	27481
14	409	26866
15	427	26283
16	443	25641
17	459	25054
18	477	24641
19	491	24106
20	507	23641
21	521	23203
22	537	22823
23	552	22456
24	567	22130
25	582	21808
26	596	21507
27	611	21229
28	626	20961
29	640	20703
30	654	20473
31	670	20272
32	687	20142
33	702	19962
34	721	19882
35	736	19732
36	753	19614
37	768	19463
38	783	19315
39	798	19167
40	814	19047
41	830	18942
42	847	18850
43	864	18778
44	881	18704
45	899	18645
46	916	18589
47	930	18464
48	947	18396
49	963	18297
50	978	18202
51	996	18161
52	1011	18079
53	1027	17998
54	1043	17934
55	1063	17928
56	1079	17866
57	1094	17782
58	1110	17708
59	1127	17671
60	1142	17586
61	1157	17506
62	1173	17455
63	1189	17399
64	1204	17328
65	1222	17307
66	1241	17284
67	1257	17239
68	1274	17194
69	1289	17134
70	1304	17069
71	1318	16996
72	1332	16920
73	1347	16857
74	1361	16793
75	1377	16744
76	1392	16693
77	1406	16622
78	1421	16567
79	1435	16507
80	1449	16450
81	1464	16400
82	1480	16354
83	1495	16309
84	1511	16270
85	1527	16229
86	1542	16192
87	1556	16134
88	1572	16098
89	1587	16049
90	1602	16005
91	1616	15949
92	1629	15890
93	1643	15841
94	1657	15787
95	1670	15733
96	1684	15680
97	1697	15623
98	1710	15568
99	1723	15514
100	1737	15462
101	1750	15410
102	1763	15361
103	1778	15323
104	1793	15283
105	1808	15251
106	1822	15212
107	1836	15167
108	1851	15135
109	1866	15100
110	1881	15070
111	1897	15043
112	1912	15011
113	1927	14979
114	1941	14941
115	1955	14903
116	1969	14866
117	1984	14836
118	2000	14808
119	2016	14789
120	2031	14758
121	2047	14737
122	2062	14705
123	2079	14688
124	2094	14664
125	2109	14633
126	2125	14608
127	2140	14579
128	2155	14551
129	2169	14520
130	2183	14487
131	2198	14454
132	2213	14426
133	2228	14401
134	2243	14375
135	2258	14345
136	2273	14318
137	2288	14292
138	2304	14274
139	2319	14248
140	2334	14223
141	2349	14198
142	2366	14183
143	2384	14176
144	2399	14149
145	2414	14123
146	2429	14095
147	2444	14069
148	2459	14048
149	2475	14026
150	2489	13995
151	2503	13966
152	2518	13940
153	2533	13917
154	2547	13889
155	2562	13862
156	2576	13835
157	2592	13815
158	2606	13789
159	2622	13769
160	2637	13741
161	2652	13718
162	2667	13695
163	2684	13684
164	2699	13659
165	2714	13636
166	2729	13616
167	2744	13592
168	2760	13572
169	2775	13552
170	2790	13528
171	2805	13505
172	2820	13481
173	2837	13468
174	2853	13451
175	2868	13431
176	2880	13392
177	2895	13370
178	2909	13346
179	2923	13318
180	2937	13289
181	2950	13261
182	2963	13230
183	2976	13198
184	2988	13167
185	3001	13136
186	3015	13108
187	3028	13080
188	3042	13054
189	3056	13030
190	3070	13004
191	3084	12980
192	3097	12952
193	3112	12930
194	3126	12906
195	3141	12886
196	3155	12860
197	3170	12840
198	3184	12818
199	3199	12796
200	3214	12779
201	3230	12761
202	3247	12748
203	3261	12727
204	3275	12704
205	3291	12685
206	3306	12667
207	3321	12647
208	3335	12625
209	3351	12608
210	3366	12588
211	3380	12565
212	3395	12546
213	3410	12527
214	3424	12505
215	3440	12488
216	3455	12467
217	3470	12449
218	3485	12429
219	3500	12411
220	3515	12393
221	3531	12374
222	3545	12353
223	3560	12333
224	3574	12311
225	3589	12292
226	3602	12269
227	3618	12253
228	3632	12229
229	3647	12212
230	3662	12190
231	3676	12170
232	3691	12150
233	3707	12134
234	3720	12111
235	3735	12092
236	3750	12073
237	3764	12051
238	3779	12032
239	3793	12012
240	3807	11991
241	3822	11972
242	3838	11957
243	3852	11937
244	3868	11922
245	3883	11902
246	3898	11884
247	3912	11863
248	3927	11845
249	3942	11826
250	3956	11805
251	3970	11785
252	3984	11765
253	4000	11749
254	4013	11727
255	4027	11705
256	4040	11682
257	4055	11662
258	4069	11643
259	4083	11623
260	4098	11603
261	4112	11584
262	4126	11564
263	4140	11544
264	4154	11523
265	4169	11504
266	4185	11490
267	4200	11473
268	4215	11455
269	4231	11440
270	4246	11424
271	4263	11411
272	4278	11394
273	4292	11374
274	4308	11359
275	4324	11343
276	4339	11325
277	4353	11307
278	4367	11287
279	4382	11268
280	4397	11253
281	4412	11235
282	4427	11218
283	4442	11199
284	4457	11182
285	4472	11166
286	4487	11147
287	4502	11131
288	4516	11112
289	4531	11095
290	4545	11075
291	4560	11058
292	4575	11040
293	4590	11022
294	4604	11004
295	4620	10988
296	4635	10971
297	4650	10954
298	4664	10935
299	4677	10914
300	4692	10897
301	4706	10877
302	4720	10859
303	4735	10841
304	4750	10825
305	4765	10808
306	4780	10790
307	4795	10773
308	4812	10760
309	4828	10746
310	4842	10728
311	4858	10712
312	4871	10693
313	4886	10676
314	4902	10660
